                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7353,                  1.954,                 2.1389,                 1.5812,                 2.3385,                 1.9934,                0.30604,                0.47294,                0.40053,                0.18401,                 1.7735,                  2.241,                 2.3662,                  1.702,                 2.6583,                  2.343,              0.0014029,              0.0014029,              0.0014029
                     35,                 1.6738,                 1.8837,                  2.098,                 1.5357,                 2.2401,                 1.9285,                0.35608,                0.35918,                0.33323,                0.13704,                 1.8222,                 2.2872,                 2.3929,                 1.7046,                 2.7209,                 2.2906,              0.0013947,              0.0013947,              0.0013947
                     36,                 1.6991,                 1.8095,                 2.0916,                 1.5709,                 2.1929,                 1.9499,                0.42831,                0.41558,                0.43604,                0.20179,                 1.8884,                 1.9506,                 2.4893,                 1.6765,                  2.507,                 2.2728,              0.0013864,              0.0013864,              0.0013864
                     37,                 1.6489,                 1.7726,                 2.0537,                  1.565,                 2.1255,                  1.947,                0.38104,                0.50703,                 0.4611,                0.22285,                 1.6686,                 1.7237,                 2.2201,                 1.5574,                  2.191,                 2.1492,              0.0013782,              0.0013782,              0.0013782
                     38,                  1.658,                 1.8054,                 2.0683,                 1.5288,                 2.1237,                 1.9315,                0.36745,                0.49263,                0.40473,                0.18251,                 1.9079,                 1.8323,                 2.4669,                 1.7774,                 2.3412,                 2.3446,              0.0013699,              0.0013699,              0.0013699
                     39,                 1.6344,                  1.787,                 2.0568,                 1.5406,                 2.1323,                 1.9243,                0.34223,                0.49892,                0.40177,                0.19445,                 1.7052,                 1.9943,                 2.2666,                 1.7421,                 2.2578,                 2.3039,              0.0013617,              0.0013617,              0.0013617
                     40,                 1.6657,                  1.767,                 2.0853,                 1.5578,                 2.1391,                  1.938,                 0.5155,                0.39185,                0.37672,                0.13091,                 1.9805,                 2.4751,                 2.4884,                 1.8293,                 2.9888,                 2.3758,              0.0013534,              0.0013534,              0.0013534
                     41,                 1.5902,                 1.7375,                 1.9979,                 1.5059,                 2.0698,                 1.8699,                0.43044,                0.41739,                0.37332,                 0.1719,                 1.8568,                 2.1905,                 2.3186,                 1.7474,                 2.5631,                 2.2436,              0.0013452,              0.0013452,              0.0013452
                     42,                 1.6008,                 1.7623,                  2.005,                 1.4884,                 2.0689,                 1.8604,                0.46604,                0.54411,                0.53824,                0.28529,                 1.5374,                 1.6322,                 2.1334,                 1.4929,                 1.9618,                 2.0667,              0.0013369,              0.0013369,              0.0013369
                     43,                  1.579,                 1.7563,                 2.0128,                 1.4807,                 2.0522,                 1.8636,                0.43291,                0.54221,                0.48648,                0.24083,                 1.6838,                 1.6805,                 2.2842,                  1.656,                 1.9569,                  2.152,              0.0013287,              0.0013287,              0.0013287
                     44,                 1.5649,                 1.6681,                 1.9644,                 1.4666,                 1.9661,                 1.8243,                0.43226,                0.52868,                0.44406,                0.19288,                 1.7578,                 1.8592,                 2.2718,                 1.6597,                 2.2646,                 2.2079,              0.0013204,              0.0013204,              0.0013204
